sepallengthcm,sepalwidthcm,petallengthcm,petalwidthcm,petalratio,sepalratio
5.7,2.6,3.5,1.0,3.5,2.1923076923076925
5.2,2.7,3.9,1.4,2.785714285714286,1.9259259259259256
6.7,3.3,5.7,2.5,2.28,2.0303030303030303
5.9,3.2,4.8,1.8,2.6666666666666665,1.84375
4.6,3.4,1.4,0.3,4.666666666666667,1.352941176470588
7.0,3.2,4.7,1.4,3.3571428571428577,2.1875
5.4,3.9,1.3,0.4,3.25,1.3846153846153848
7.4,2.8,6.1,1.9,3.210526315789473,2.6428571428571432
4.9,3.0,1.4,0.2,6.999999999999999,1.6333333333333335
5.1,3.5,1.4,0.3,4.666666666666667,1.457142857142857
5.8,2.7,5.1,1.9,2.6842105263157894,2.148148148148148
5.0,3.2,1.2,0.2,5.999999999999999,1.5625
4.5,2.3,1.3,0.3,4.333333333333334,1.956521739130435
4.8,3.0,1.4,0.1,13.999999999999998,1.6
4.8,3.0,1.4,0.3,4.666666666666667,1.6
5.6,2.9,3.6,1.3,2.769230769230769,1.9310344827586208
6.3,3.3,6.0,2.5,2.4,1.9090909090909087
5.7,2.8,4.5,1.3,3.461538461538461,2.035714285714286
5.1,3.5,1.4,0.2,6.999999999999999,1.457142857142857
5.9,3.0,5.1,1.8,2.833333333333333,1.9666666666666668
5.7,2.8,4.1,1.3,3.1538461538461533,2.035714285714286
6.3,3.4,5.6,2.4,2.333333333333333,1.8529411764705883
4.6,3.2,1.4,0.2,6.999999999999999,1.4374999999999998
5.8,2.7,5.1,1.9,2.6842105263157894,2.148148148148148
5.5,3.5,1.3,0.2,6.5,1.5714285714285714
5.5,2.3,4.0,1.3,3.0769230769230766,2.391304347826088
5.7,2.5,5.0,2.0,2.5,2.28
4.8,3.4,1.9,0.2,9.499999999999998,1.411764705882353
6.0,2.7,5.1,1.6,3.1875,2.222222222222222
5.5,2.6,4.4,1.2,3.666666666666667,2.1153846153846154
7.7,2.8,6.7,2.0,3.35,2.7500000000000004
5.6,3.0,4.5,1.5,3.0,1.8666666666666665
6.5,2.8,4.6,1.5,3.0666666666666664,2.321428571428572
6.4,3.2,5.3,2.3,2.3043478260869565,2.0
5.1,3.4,1.5,0.2,7.5,1.5
5.1,3.3,1.7,0.5,3.4,1.5454545454545454
5.0,3.6,1.4,0.2,6.999999999999999,1.3888888888888888
6.0,2.2,5.0,1.5,3.333333333333333,2.727272727272727
5.8,2.7,3.9,1.2,3.25,2.148148148148148
7.2,3.0,5.8,1.6,3.625,2.4
5.5,2.4,3.8,1.1,3.454545454545454,2.291666666666667
6.7,3.0,5.2,2.3,2.260869565217392,2.2333333333333334
6.3,2.7,4.9,1.8,2.7222222222222223,2.333333333333333
6.0,3.4,4.5,1.6,2.8125,1.7647058823529411
4.9,3.1,1.5,0.1,15.0,1.5806451612903227
5.8,2.8,5.1,2.4,2.125,2.071428571428572
6.2,2.2,4.5,1.5,3.0,2.818181818181818
5.0,3.5,1.6,0.6,2.666666666666667,1.4285714285714286
6.9,3.2,5.7,2.3,2.4782608695652177,2.15625
5.2,4.1,1.5,0.1,15.0,1.2682926829268295
7.2,3.6,6.1,2.5,2.44,2.0
5.1,2.5,3.0,1.1,2.727272727272727,2.04
6.7,3.1,4.7,1.5,3.1333333333333333,2.161290322580645
4.8,3.1,1.6,0.2,8.0,1.5483870967741935
6.2,2.9,4.3,1.3,3.3076923076923075,2.137931034482759
6.5,3.2,5.1,2.0,2.55,2.03125
5.1,3.8,1.9,0.4,4.749999999999999,1.3421052631578947
4.3,3.0,1.1,0.1,11.0,1.4333333333333331
6.7,3.3,5.7,2.1,2.7142857142857144,2.0303030303030303
7.7,2.6,6.9,2.3,3.0000000000000004,2.9615384615384617
6.8,3.0,5.5,2.1,2.619047619047619,2.2666666666666666
6.3,2.3,4.4,1.3,3.3846153846153846,2.739130434782609
6.2,2.8,4.8,1.8,2.6666666666666665,2.2142857142857144
5.4,3.9,1.7,0.4,4.25,1.3846153846153848
6.8,3.2,5.9,2.3,2.565217391304348,2.125
5.7,2.9,4.2,1.3,3.230769230769231,1.9655172413793105
7.2,3.2,6.0,1.8,3.333333333333333,2.25
7.1,3.0,5.9,2.1,2.8095238095238098,2.3666666666666667
5.3,3.7,1.5,0.2,7.5,1.4324324324324322
6.4,2.9,4.3,1.3,3.3076923076923075,2.206896551724138
6.1,2.8,4.7,1.2,3.916666666666667,2.1785714285714284
5.7,3.0,4.2,1.2,3.5000000000000004,1.9
5.6,3.0,4.1,1.3,3.1538461538461533,1.8666666666666665
6.7,3.1,4.4,1.4,3.1428571428571432,2.161290322580645
5.2,3.5,1.5,0.2,7.5,1.4857142857142858
6.4,2.8,5.6,2.1,2.6666666666666665,2.285714285714286
6.0,2.2,4.0,1.0,4.0,2.727272727272727
5.9,3.0,4.2,1.5,2.8000000000000003,1.9666666666666668
4.8,3.4,1.6,0.2,8.0,1.411764705882353
4.9,3.1,1.5,0.1,15.0,1.5806451612903227
4.7,3.2,1.3,0.2,6.5,1.46875
5.5,4.2,1.4,0.2,6.999999999999999,1.3095238095238095
6.9,3.1,4.9,1.5,3.266666666666667,2.2258064516129035
4.6,3.1,1.5,0.2,7.5,1.4838709677419353
